	Ref	NOX	ATPase
b2562	10.60358364	10.3538961	10.43366974
b2563	10.83620611	10.51739264	10.61550933
b2564	11.82288443	11.7511169	11.6049774
b2565	9.684457802	9.469273862	9.49842205
b2567	11.35734226	11.00802911	10.99909389
b2568	11.60259871	11.55043078	11.60633481
b2569	10.93457797	10.86402959	10.56839125
b2570	11.05293441	10.96979706	11.09705917
b2572	12.6567182	11.6343625	12.54719226
b2573	11.09500128	9.866563426	11.10735147
b2574	10.09982789	10.27326734	10.30466686
b2575	8.669565358	8.835388822	8.711343401
b2576	12.89428836	12.91382924	12.76840384
b2577	8.792818987	9.26269136	9.002959003
b2578	7.238379734	9.404673007	8.393020167
b2579	10.89472383	10.52975184	10.66260574
b2580	9.078009515	9.133427765	9.272070408
b2581	10.93774485	10.82667334	10.84026465
b2582	10.80720942	10.68164464	10.84181955
b2583	7.735931094	8.063534499	7.90220898
b2584	6.931500545	7.077732863	7.321101749
b2585	11.44876162	11.07163431	11.31511597
b2586	9.294995697	9.607116987	9.976171863
b2587	13.18414736	13.32867239	12.92770953
b2591	15.91089326	16.14230635	16.18072313
b2592	12.74128601	12.89182051	13.0364897
b2593	10.57872301	10.28411869	10.21935688
b2594	10.15493423	9.395428691	9.337163687
b2595	12.51923008	12.15367622	12.06593979
b2596	2.753111869	2.480273315	2.761994139
b2597	13.7577946	12.58836335	12.18754325
b2598	9.127600083	7.511872789	7.628267322
b2599	11.30940261	11.09783362	11.03796798
b2600	12.11625253	12.47119003	11.87254621
b2601	12.31587403	12.69921836	11.80633339
b2602	7.720514995	7.937763503	8.212392231
b2603	10.7629511	10.95489727	11.03568262
b2604	9.662425821	10.0192113	10.23710332
b2605	9.432352476	9.464040981	9.662547257
b2606	13.36710529	13.50125833	13.36283279
b2607	14.52216475	14.5948957	14.52846326
b2608	13.32460112	13.41647629	12.95958528
b2609	13.75442907	13.55541404	12.81206311
b2610	11.12751075	10.60500001	10.53516737
b2611	9.442985189	9.314921954	9.511374678
b2612	9.801957237	9.776662706	9.794299703
b2613	9.727742376	9.716717062	9.802518162
b2614	12.41690795	11.99597632	12.08527626
b2615	4.232223525	7.186887809	4.575212107
b2616	8.405726352	8.610108291	8.728148246
b2617	9.668944327	9.4025179	9.917364731
b2618	11.00350422	10.72774433	10.67808623
b2619	12.23931733	12.22545967	12.14646279
b2620	12.25403992	12.1241248	12.08791943
b2621	15.8576917	15.68589022	15.6016223
b2622	10.67451974	10.53996818	10.85509361
b2623	9.825831588	10.05648246	9.802134233
b2624	5.279408463	7.656203649	6.322266385
b2625	5.672748743	7.157974664	6.504717612
b2626	5.339386494	7.318073294	5.934455531
b2627	11.11077154	11.36527936	11.17244375
b2628	10.7937211	10.68193637	10.92563961
b2629	5.784902655	7.49417569	7.02199362
b2630	11.4012541	11.20584772	11.49523323
b2631	11.63774059	11.57785078	11.66085123
b2632	8.296589295	9.642426625	9.311856475
b2633	7.014801112	9.407555666	8.19219501
b2634	7.394548313	8.095706946	8.286898884
b2635	4.281117853	5.367495044	5.469737265
b2636	6.597816179	8.245658892	7.879920993
b2637	8.30430383	9.205400245	9.218040493
b2638	9.833511881	10.11826715	10.10137295
b2639	7.86594829	8.742173484	8.226009375
b2640	8.291767043	9.01173581	8.477504358
b2641	2.359480976	2.225937897	2.30021512
b2642	8.237529343	8.366560842	8.019611454
b2643	7.393099459	9.3009329	8.597598075
b2644	6.529116614	8.151628975	7.809648588
b2645	6.951264354	9.472272221	8.36348745
b2646	8.919646368	9.874194273	10.00343696
b2647	8.690875012	9.485147108	8.847565145
b2648	5.916343503	8.286767309	6.891742096
b2649	4.31021124	5.461243263	4.661663733
b2650	5.437353486	7.973394613	5.83263979
b2651	5.619693574	6.699233691	6.307043155
b2653	5.016631289	6.472419257	5.465985787
b2654	3.079056446	2.756679833	2.95351553
b2655	3.250601998	3.569310316	3.679324426
b2656	6.201343628	8.037785933	7.116555785
b2657	5.780837642	8.173309245	7.023235415
b2658	3.463734697	4.105426292	3.429215467
b2659	8.760571107	9.024296612	9.049270018
b2660	10.25144384	10.6917379	10.41401987
b2661	9.153193386	9.118912841	9.241248337
b2662	8.758342004	8.478216545	8.638342028
b2663	7.477695438	7.736033822	7.377206495
b2664	8.412217161	8.611815518	8.672161915
b2665	11.1539265	10.15889784	10.84384105
b2666	5.638584664	4.825825612	5.407324861
b2667	5.547373549	5.623452973	5.870854764
b2668	8.381002562	8.983143564	8.856550819
b2669	11.5150313	10.08357088	10.76072309
b2670	9.585545273	9.136087078	8.7217262
b2671	9.602291024	9.765782798	9.71220143
b2672	10.11639991	8.033394058	8.819689765
b2673	7.946244196	8.23558612	8.124665312
b2674	8.615337803	9.366029991	8.983706696
b2675	6.240448486	6.84272185	6.490116773
b2676	6.166527645	7.658726877	6.705579352
b2677	8.261919973	9.165850292	9.414454429
b2678	7.215863268	7.713785136	7.663695259
b2679	9.591165245	9.675536337	9.584324725
b2680	2.952971355	3.952462779	4.231144326
b2681	7.259833666	8.179269894	8.137890856
b2682	10.43906813	10.40839901	10.4168517
b2683	9.955339013	9.955715174	9.727196824
b2684	12.41855699	12.37945989	12.24301778
b2685	9.905178527	9.937961525	9.742365412
b2686	6.733464474	7.065381666	7.05132445
b2687	12.13518207	11.30979427	11.75122029
b2688	12.53696199	12.45673865	12.28909509
b2689	8.795339534	8.529120684	8.584965882
b2690	7.445750806	7.376533533	7.407559402
b2696	12.12405384	11.33316882	11.05127436
b2697	12.83416702	12.96134871	12.78541904
b2698	8.981466255	9.896242392	9.196150133
b2699	12.33842579	12.01838247	11.83479871
b2700	10.23241308	9.78768216	10.02976264
b2701	9.462399916	9.300085599	9.372222353
b2702	2.813846548	2.68582755	3.134856439
b2704	7.593591976	8.029558652	8.369390239
b2705	6.979686722	8.459343133	7.706708808
b2706	5.378096131	6.420938166	5.931168921
b2707	8.683236033	8.823278197	8.859193874
