ID,Flux
PGI,-1.15179843947565
PFK,-0.106527551237377
FBA,-0.222745050006779
TPI,-0.222745050006779
PGK,0.584599651359684
GAPD,-0.584599651359684
ENO,-0.570481159655083
PGM,0.570481159655105
PYK,0.122956851642812
PDH,-0.144674197508721
G6PDH2r,-0.43626687416109
PGL,-0.43626687416109
GND,-0.43626687416109
RPE,-0.284060911759855
RPI,0.152205962401236
TKT1,-0.143733923629043
TALA,-0.14373392362904
TKT2,-0.140326988130812
CS,-0.119992296560667
ACONTb,-0.119992296560667
ACONTa,-0.119992296560667
ICDHyr,-0.196141278578673
SUCOAS,0.144674197508721
AKGDH,-0.144674197508721
SUCDi,-0.137688970251475
FUM,0.111892846224932
MDH,0.282199680360209
PPC,-0.569285752074543
ME2,-0.110730197557132
ICL,0.0761489820180054
MALS,0.0761489820180054
ACKr,-0.257048813649336
PTAr,0.257048813649336
LDH_D,0.207344755651562
ACALD,0.221971576534854
ALCD2x,0.320544302375463
EX_glc__D_e,1.59
EX_o2_e,0.117261936804576
EX_co2_e,-0.371155099736448
EX_etoh_e,-0.320544302375462
EX_ac_e,0.257048813649336
EX_lac__D_e,-0.207344755651562
EX_succ_e,-0.234470838992561
EX_pyr_e,0.263234500827076
EX_for_e,0.100538278362346
