ID,Flux
PGI,0.118340930406703
PFK,-0.238412797509227
FBA,0.103585588780539
TPI,0.103585588780539
PGK,0.202855486201975
GAPD,-0.202855486201975
ENO,0.120641536414041
PGM,-0.120641536414041
PYK,1.06771163813427
PDH,-0.345298796713649
G6PDH2r,-1.6640114587247
PGL,-1.6640114587247
GND,-1.6640114587247
RPE,-0.953906707873242
RPI,0.710104750851453
TKT1,-0.515984913149315
TALA,-0.515984913149315
TKT2,-0.437921794723927
CS,-0.275210560226697
ACONTb,-0.275210560226697
ACONTa,-0.275210560226697
ICDHyr,-0.163167943741428
SUCOAS,-0.0559504016961942
AKGDH,0.0559504016961942
SUCDi,-0.137688970251475
FUM,0.0208580086640186
MDH,-0.226001940514253
PPC,-0.585798799397838
ME2,-0.110730197557132
ICL,-0.112042616485269
MALS,-0.112042616485269
ACKr,-0.667289211638693
PTAr,0.667289211638693
LDH_D,-0.340050386992489
ACALD,0.0918687989794099
ALCD2x,0.725138564036926
EX_glc__D_e,1.59
EX_o2_e,0.176876140296854
EX_co2_e,-0.89803832150319
EX_etoh_e,-0.725138564036926
EX_ac_e,0.667289211638693
EX_lac__D_e,0.340050386992489
EX_succ_e,0.198476686254893
EX_pyr_e,2.34616192653145
EX_for_e,-0.276963206216243
