,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YOR327C,10.52909727,10.77539152,10.72847841,11.00138067,10.94440408
YOR328W,7.880389055,8.654430174,8.596110961,8.578119888,10.21132306
YOR329C,8.406299115,8.384976491,8.27546022,8.292407598,8.519399174
YOR330C,8.739005027,8.814405106,8.631963758,8.712657644,8.642600666
YOR332W,11.79560186,11.46234494,11.41921999,11.43420697,11.34534049
YOR334W,6.859002257,6.507514476,6.532550566,6.398821948,6.154936991
YOR335C,11.3135623,11.60884019,11.54922752,11.55431223,11.00495354
YOR336W,8.597052662,8.61382771,8.491726785,8.484787716,8.578762973
YOR337W,7.851064867,8.299066587,8.226594006,7.927112629,7.786882946
YOR338W,6.121703755,6.544056191,6.325671304,6.802875516,7.644667583
YOR339C,5.068721083,4.921725811,5.061854716,4.848633207,4.885056728
YOR340C,8.517984463,8.560866441,8.715677073,8.886868578,8.228374156
YOR341W,10.08586139,9.924642883,9.916191679,10.18048422,9.349581642
YOR342C,10.45120062,10.03081068,10.23394512,10.50182292,9.946211115
YOR344C,8.565520858,8.581378135,8.841850433,9.207073891,9.675704767
YOR346W,8.519341559,8.20910932,8.105994405,8.095202666,8.129711504
YOR347C,9.095605309,8.587850463,8.479720932,8.389760471,8.64614679
YOR348C,5.23847061,9.789414477,10.87052232,10.93415231,11.70230432
YOR349W,5.739256365,6.292086902,6.159759776,5.925120024,6.50988073
YOR350C,6.011182331,6.932464906,6.825606402,6.817513764,6.426849589
YOR351C,4.091738004,4.068315716,4.080131686,3.950836956,4.297597762
YOR352W,8.511329028,8.391924603,8.524133684,8.312482215,8.631346611
YOR353C,8.407026686,8.474231477,8.390347404,8.418647308,8.316252657
YOR354C,10.20011127,10.30162467,10.41026271,10.28936226,9.672350036
YOR355W,10.10662052,9.895484866,9.873286287,9.972006021,10.41093601
YOR356W,10.36156938,11.41633094,11.471181,11.5725363,11.50085935
YOR357C,9.348388185,8.980394479,8.93800418,9.041110627,8.845825587
YOR358W,8.478508866,8.478383928,8.440667732,8.170327137,8.389924927
YOR359W,7.73462049,7.783436059,7.854037973,7.959904454,7.30914966
YOR360C,8.803813439,8.761110639,8.542603021,8.565079984,7.980480761
YOR361C,10.62178179,10.62974679,10.68202687,10.76934059,10.20520283
YOR362C,11.75844933,11.55301357,11.64443818,11.53694005,11.70865176
YOR363C,8.411764215,8.485232961,8.536596032,8.549290398,9.245696374
YOR365C,4.768926694,4.56774268,4.578044734,4.639522637,5.089813974
YOR367W,8.327420436,7.997283555,8.091675995,8.235748516,8.392280672
YOR368W,6.829405668,6.918221172,6.890350845,6.926876819,6.461039795
YOR369C,12.96238568,12.67189218,12.75050973,12.97129496,12.51737818
YOR370C,10.28560489,10.54403502,10.35029215,10.36707342,10.09698181
YOR371C,9.571878128,9.9332787,9.66455472,9.494740959,9.668110926
YOR372C,7.71391418,7.514788121,7.594596262,7.526219497,7.590585145
YOR373W,7.330815243,7.117992704,6.965416644,6.874011255,6.795480571
YOR374W,12.91844987,13.27680507,13.54698168,13.87173643,14.09915206
YOR375C,13.33279996,13.11227656,13.20266738,13.36373987,12.62455691
YOR376W-A,4.21427833,4.182272155,4.224884637,4.416674586,4.16912934
YOR377W,7.514501008,7.375254568,7.289513535,7.473793852,7.075390399
YOR378W,4.645211826,4.348055897,4.454142318,4.482843293,4.442061827
YOR380W,7.636632463,8.244749806,8.184691096,7.931734686,8.323769286
YOR381W,6.001358023,5.901927723,5.806955214,5.832925437,5.633616613
YOR381W-A,3.8531534,3.821157764,3.844210862,3.903125843,3.901240576
YOR382W,12.93618515,12.53311239,12.37027479,12.73219524,8.322283608
YOR383C,12.91569917,12.50254841,12.52552366,13.02037208,10.15617974
YOR384W,7.240542288,5.641808024,5.694730541,6.59080565,4.462263125
YOR385W,8.174677137,8.172360668,8.434041564,8.436178623,8.581715025
YOR386W,6.243852209,5.806189439,5.828827799,5.855645203,6.242050019
YOR387C,5.103211458,4.885393493,4.839609279,4.666472521,5.333225989
YOR388C,4.986871817,5.371998048,6.943726437,10.12143123,13.46070968
YOR389W,5.550542615,5.857342785,5.92023056,6.14768094,6.844208168
YOR390W,6.849047681,6.483775164,6.924635873,6.663788482,6.261571603
YOR394C-A,6.677925301,6.542040496,6.39065592,6.302124861,6.630927894
YOR394W,5.121257992,4.556239463,4.764538602,4.655749542,5.320152894
YPL001W,8.154037672,7.773456954,7.93847654,8.154653384,8.32901942
YPL002C,7.667727668,7.570786482,7.571820719,7.660126337,7.557092677
YPL003W,7.15966695,7.518169635,7.809001449,7.882317429,8.019613079
YPL004C,10.22679218,11.57535923,11.69759813,11.6870516,12.62266638
YPL005W,7.04177364,7.200116171,7.318634152,7.290280958,7.349697079
YPL006W,9.906481103,9.751423574,9.684351335,9.497332342,9.939838243
YPL007C,8.030971318,7.733665506,7.721818892,7.768668577,7.642318884
YPL008W,8.696364244,8.78456084,8.629977999,8.495125014,8.432296778
YPL009C,8.614666463,8.604889891,8.48735028,8.465808779,8.638663243
YPL010W,9.842567784,9.530864559,9.63613362,9.753374259,9.470211723
YPL011C,8.762521467,8.738047394,8.777278415,8.949470493,8.99622014
YPL012W,9.565541328,9.462358245,9.540164609,9.66510232,9.096542843
YPL013C,10.6658069,10.85065185,10.66461606,10.48313858,10.17239253
YPL014W,7.167966407,7.447370279,7.418940153,7.324886169,7.198391402
YPL015C,7.506673758,7.817418474,7.537018955,7.30414153,8.097377946
YPL016W,8.957463283,9.061989114,8.982307213,8.853151534,8.738726975
YPL017C,6.783089099,6.984973045,6.727637792,6.65748789,7.932614748
YPL018W,5.803535739,5.521995955,5.565502927,5.842421429,5.985878424
