,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YLR044C,0.4415,0.2437,0.3266,0.2548,0.5159
YLR174W,0,0.1462,0.0902,0.2442,0.7589
YLR178C,0.6304,0.0343,0.1716,0.152,0.4966
YLR192C,0.4933,0.2645,0.5126,0.0169,0.257
YLR215C,0,0.1462,0.0902,0.2442,1.2356
YLR293C,0.1816,0.0826,0.2697,0.297,0.1306
YLR303W,1.352980872,0.333183043,0.685253391,0.349279086,0.74177051
YLR304C,0.165952825,0.149585695,0.246885966,0.139542287,0.410936321
YLR355C,0.02,0.0498,0.1802,0.0798,0.0858
YLR438W,0.0792,0.1936,0.174,0.0752,0.2108
YML008C,0.5032,0.0737,0.2587,0.1645,0.3067
YML028W,0.456,0.28,0.2352,0.087,0.1107
YML054C,0.0988,0.515659471,0.427720902,0.205679873,0.269289974
YML070W,0.3368,0.25,0.1466,0.3622,0.8625
YML126C,0.1857,0.2081,0.2735,0.0377,0.2612
YMR083W,0.1998,0.0706,0.3009,0.1091,0.5864
YMR095C,0.5234,0.8637,0.761,0.1446,0.476
YMR108W,0.426471347,0.106358262,0.201929319,0.131871832,0.438885953
YMR116C,0.8753,0.444,0.4199,0.1555,0.35
YMR120C,0.0693,0.0301,0.1659,0.0002,0.268
YMR169C,0,0.1462,0.0902,1.6168,1.3086
YMR203W,0.1351,0.0769,0.2297,0.0403,0.1703
YMR217W,0.1733,0.0927,0.2641,0.1191,0.3677
YMR220W,0.1481,0.3605,0.244,0.1936,0.138
YMR226C,0.177,0.0719,0.4123,0.0726,0.1697
YMR303C,5.46905513,0.225656908,3.665818738,0.317329041,0.399140101
YNL007C,0.7866,0.3333,1.2792,0.147,0.3751
YNL037C,0.2371,0.2342,0.4296,0.2618,0.2564
YNL055C,0.187477412,0.31374998,0.163244265,0.118286305,0.285149259
YNL117W,0.4371,0.5459,0.2234,0.3778,0.2484
YNR001C,0,0.1462,2.1418,0.2442,0.5454
YNR050C,0.1246,0.1678,0.2115,0.178,0.1999
YOL058W,0.85518771,0.264582123,0.65701328,0.808201046,0.385919422
YOL086C,0.465306114,0.083349685,0.767274123,0.902042272,0.493759719
YOL126C,0.5249,0.0141,0.3402,0.0184,0.1243
YOR007C,0.0082,0.2222,0.2162,0.9411,0.1
YOR027W,0.227461337,0.293088195,1.745387739,1.777937521,3.43715344
YOR095C,0,0.1462,0.8549,0.2256,1.3219
YOR120W,1.2875,1.2434,0.4266,0.1004,0.4316
YOR136W,0.2494,0.0558,0.1763,0.0813,0.2359
YOR142W,0.0979,0.1266,0.1373,0.0596,0.1129
YOR184W,0.1525,0.0098,0.1267,0.0169,0.168
YOR187W,0.0071,0.0445,0.2443,0.0434,0.2135
YOR204W,0.071,0.0057,0.2497,0.0791,0.491
YOR230W,0.0469,0.0384,0.2262,0.0288,0.1117
YOR374W,0.114216724,0.334734537,0.922534688,0.213447441,0.278389026
YOR375C,1.051709641,0.342281346,0.410518428,0.328765342,0.646814695
YOR388C,0.29,0.5588,0.4098,0.0299,0.1627
YPL061W,0.683084255,0.306876457,0.42151408,0.265071651,0.57168061
YPL106C,0.177135259,0.241412199,0.04410102,0.066452539,0.102425046
YPL145C,0.2202,0.1124,0.2715,0.3268,0.2516
YPL262W,0.1467,0.1537,0.0971,0.0272,0.0186
YPR002W,0.5651,0.8355,1.2884,0.3614,0.3188
YPR033C,0.1664,0.0695,0.3193,0.0761,0.3186
YPR110C,0.1351,0.0626,0.197,0.0905,0.1907
YPR145W,0.1113,0.1115,0.3808,0.0683,0.6706
YPR163C,0.0507,0.6754,1.0547,2.5506,0.3207
YPR191W,0.2748,0.1168,0.0846,0.127,0.1475
