,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YAR035C-A,0.206369743,0.157202841,0.293223145,0.232627405,0.942752216
YAR035W,0.442266308,0.17963908,0.139564165,0.069578477,0.652806291
YAR042W,0.291094987,0.090872364,0.090167909,0.034714971,0.159582096
YAR050W,0.09211832,0.079720202,0.058121161,0.089587432,0.136116309
YAR064W,0.673510435,0.352560806,0.467400088,0.11196049,0.347297866
YAR066W,0.16888759,0.429304088,0.378583891,0.405256349,0.197584702
YAR068W,0.144832224,0.182444193,0.165645919,0.079703029,0.251403613
YAR071W,0.174360144,0.063584187,0.091004559,0.066042093,0.129702593
YAR073W,0.289046345,0.065436382,0.120865473,0.097467411,0.3225645
YAR075W,0.025698902,0.012682065,0.052135953,0.101977217,0.07546738
YBL001C,0.097557945,0.117576093,0.144576701,0.417870163,0.409177054
YBL002W,0.051995127,0.071880516,0.055084684,0.133394452,0.496033609
YBL003C,0.08001499,0.065019218,0.066500447,0.14953263,0.407601772
YBL004W,0.240013853,0.333683517,0.199376861,0.447899689,0.392307535
YBL005W,0.092338809,0.085333196,0.129943,0.090529692,0.063860883
YBL005W-A,0.26654561,0.042036697,0.084071518,0.171958259,0.305019373
YBL006C,0.072106821,0.21979247,0.105220103,0.105079963,0.128068511
YBL007C,0.042339473,0.094717845,0.029975235,0.051519001,0.184918033
YBL008W,0.052260564,0.113381769,0.170439354,0.197597361,0.094943278
YBL008W-A,0.305058531,0.074459743,0.216978711,0.085113867,0.256628498
YBL009W,0.054807794,0.144691566,0.058775916,0.209811554,0.206187356
YBL010C,0.195486599,0.046448875,0.111159497,0.135694428,0.242718923
YBL011W,0.101266933,0.049094627,0.099488367,0.073108508,0.149698914
YBL013W,0.14615134,0.033967225,0.166202907,0.145803377,0.216822567
YBL014C,0.106066731,0.07846136,0.077330837,0.214485016,0.240150356
YBL015W,0.33105814,0.111694721,0.071696355,0.097482348,0.130725957
YBL016W,0.286273052,0.094545902,0.088898122,0.223453754,0.379920324
YBL017C,0.134570449,0.067668783,0.075790466,0.096789751,0.114646608
YBL018C,0.137553821,0.136339946,0.15865732,0.225173171,0.230885059
YBL019W,0.055634074,0.177593603,0.090740391,0.179590267,0.194457812
YBL020W,0.10460383,0.142279406,0.099482335,0.058357613,0.056071642
YBL021C,0.170059734,0.111247158,0.11508562,0.181490896,0.164712781
YBL022C,0.108604064,0.060636953,0.063428503,0.131185641,0.091697943
YBL023C,0.075713355,0.126597518,0.055495658,0.097698636,0.10334877
YBL024W,0.052562654,0.248141696,0.086378407,0.335118035,0.344288718
YBL025W,0.203661741,0.150987474,0.161430666,0.253397283,0.070839348
YBL026W,0.164837141,0.053210583,0.060222984,0.143667872,0.206137595
YBL027W,0.05166531,0.141718393,0.076684729,0.089950006,0.122751723
YBL028C,0.176471821,0.341825918,0.225612139,0.184872144,0.480983379
YBL029C-A,0.290090437,0.245485146,0.103136113,0.074979693,0.259899881
YBL029W,0.500003769,0.155454793,0.147227411,0.446797956,0.297564094
YBL030C,0.110216128,0.070368842,0.040859142,0.012609723,0.077845093
YBL031W,0.135996387,0.202354972,0.056107313,0.13193935,0.311858888
YBL032W,0.22403454,0.083567611,0.091066852,0.183569679,0.083433965
YBL033C,0.084739161,0.034859287,0.093083876,0.146318409,0.121146873
YBL034C,0.038282746,0.03531847,0.080703745,0.164062661,0.207305444
YBL035C,0.063478322,0.156478721,0.065066904,0.103158476,0.11463277
YBL036C,0.040932491,0.10245072,0.149645046,0.14571874,0.260860726
YBL037W,0.15252569,0.136818708,0.08096371,0.091840048,0.0778729
YBL038W,0.134367733,0.043795176,0.061253365,0.107069284,0.153053974
YBL039C,0.195700908,0.487237534,0.188337133,0.756304616,0.669800381
YBL039W-A,0.192690498,0.194647485,0.172207148,0.669320077,0.443210637
YBL040C,0.079540125,0.071982314,0.065070374,0.278377605,0.261215365
YBL041W,0.061191825,0.092055094,0.055024204,0.063946314,0.131210761
YBL042C,0.36244909,0.318245183,0.142465291,0.503816651,0.210653522
YBL043W,0.821603126,0.050100691,0.114046806,0.365907135,0.116815368
YBL044W,0.16900403,0.118216517,0.070669738,0.171734352,0.103007034
YBL045C,0.130655212,0.031026041,0.036108118,0.110396125,0.101110098
YBL046W,0.076921556,0.097032933,0.115205081,0.176085977,0.095586204
YBL047C,0.104728942,0.110693592,0.104017909,0.115322795,0.030647245
YBL049W,0.275812444,0.207559023,0.178963085,0.484790587,0.428099268
YBL050W,0.009559359,0.057498932,0.064265248,0.153351824,0.221639403
YBL051C,0.138578822,0.077798291,0.051128344,0.077831631,0.150548212
YBL052C,0.089755013,0.058234161,0.050756477,0.062580721,0.226303059
YBL054W,0.099013656,0.355543034,0.179990883,0.765359767,0.965140181
YBL055C,0.113673677,0.076035239,0.055186559,0.227073587,0.263468199
YBL056W,0.122692587,0.091244959,0.12257654,0.133751749,0.103698587
YBL057C,0.179727442,0.194435232,0.096224683,0.268026635,0.207888035
YBL058W,0.070221418,0.121507132,0.070907813,0.036203761,0.272414417
YBL059C-A,0.164949567,0.05450095,0.164689318,0.344910511,0.339037899
YBL059W,0.143328203,0.044051186,0.096896452,0.24868606,0.375589175
YBL060W,0.128538338,0.126335771,0.074790698,0.0778827,0.157220454
YBL061C,0.13202567,0.201365508,0.086265519,0.218551373,0.148117281
YBL063W,0.177988995,0.172184139,0.070877158,0.179757223,0.244305228
YBL064C,0.161807481,0.088160124,0.059321539,0.396565144,0.242673896
YBL066C,0.108749305,0.128847319,0.134901595,0.191627059,0.150259741
YBL067C,0.166474184,0.030010353,0.111255329,0.156907437,0.543758986
YBL068W,0.066411807,0.142628644,0.09205106,0.195422521,0.147314507
YBL069W,0.200419053,0.182197535,0.110395746,0.162581547,0.206471188
YBL071C-B,0.04149936,0.01127331,0.062386328,0.059313281,0.049503826
YBL071W-A,0.235009033,0.140929395,0.163644562,0.266628463,0.15569491
YBL072C,0.054709788,0.074657486,0.03533101,0.074141417,0.154217862
YBL074C,0.085748097,0.13473291,0.124318052,0.418541816,0.10605121
YBL075C,0.35851601,0.245306022,0.362828234,0.210670106,0.303909192
YBL076C,0.190724561,0.16149507,0.08933102,0.236377131,0.19842664
YBL078C,0.199486772,0.160578827,0.126132012,0.384843108,0.416325438
YBL079W,0.177716522,0.285483389,0.136687331,0.193376039,0.102618119
YBL080C,0.163871355,0.059569391,0.141902791,0.109315134,0.230053866
YBL081W,0.142076912,0.176325854,0.151027013,0.535504847,0.814112731
YBL082C,0.106991024,0.057791872,0.032917834,0.197820478,0.118012006
YBL084C,0.100023521,0.038865498,0.063555928,0.189883707,0.1504749
YBL085W,0.122231024,0.108513886,0.101436912,0.162421051,0.179636686
YBL086C,0.233616006,0.291746892,0.137917043,0.204837754,0.253231709
YBL087C,0.105514073,0.149628592,0.109685282,0.158721079,0.281777766
YBL088C,0.187845776,0.191682924,0.101750958,0.050695961,0.129698401
YBL089W,0.091203914,0.130136048,0.079900134,0.206705941,0.223860111
YBL090W,0.101906575,0.073821876,0.121836707,0.175436329,0.063127855
YBL091C,0.040991985,0.046090485,0.076294978,0.037715032,0.043681447
YBL091C-A,0.146684744,0.148837923,0.162917006,0.308553266,0.114267292
YBL092W,0.04889124,0.078456588,0.055140853,0.063416565,0.162692777
YBL093C,0.058813684,0.127282727,0.082109783,0.132571646,0.156484031
YBL095W,0.043929528,0.142509015,0.128361176,0.208796112,0.169357035
YBL097W,0.088769101,0.112944989,0.043146724,0.031668991,0.056681876
YBL098W,0.132614476,0.140461122,0.116291242,0.188052619,0.476338136
YBL099W,0.160434705,0.098577653,0.053337843,0.063750671,0.084797529
YBL101C,0.222231297,0.163718032,0.113107274,0.245694211,0.302922331
YBL101W-A,0.470051855,0.221574892,0.136068704,0.571262142,0.360199328
YBL101W-B,0.601476996,0.118125623,0.05797707,0.042420263,0.184315582
YBL101W-C,0.047791131,0.040120706,0.035403789,0.053401473,0.024322215
YBL102W,0.090878912,0.093956299,0.04375442,0.187430611,0.242856613
YBL103C,0.056092626,0.042687327,0.062538728,0.240803691,0.271175194
YBL104C,0.033657039,0.071821973,0.110653726,0.074186704,0.103703907
YBL105C,0.10175529,0.080082424,0.04315217,0.096909985,0.172505695
YBL106C,0.269293786,0.081049894,0.065201973,0.074861768,0.173663109
YBL107C,0.207726892,0.113025522,0.129170254,0.085802871,0.029608849
YBL108C-A,1.335626088,0.162359616,0.411725041,0.232870428,0.358268649
YBL111C,0.293820915,0.162871942,0.123708157,0.244452543,0.073077102
YBL112C,0.369833729,0.383368103,0.314604249,0.451068054,0.34743707
YBL113C,0.156522942,0.132363725,0.086929023,0.18958725,0.038320041
YBR001C,0.117794479,0.184666117,0.078587354,0.274286482,0.183268313
YBR002C,0.089219227,0.145831577,0.096042556,0.34224342,0.080230812
YBR003W,0.086367918,0.158886085,0.074001755,0.176183612,0.094600155
YBR004C,0.064269944,0.221676114,0.093668051,0.273425059,0.110926233
YBR005W,0.261588602,0.183748143,0.101159879,0.11564452,0.112254798
YBR006W,0.196584199,0.245129648,0.122716076,0.393553684,0.3962487
YBR007C,0.076421901,0.05922183,0.064239721,0.18496726,0.655540358
YBR008C,0.075022405,0.172352566,0.091226809,0.254719593,0.2880496
YBR009C,0.105938359,0.032531783,0.043440192,0.123825078,0.075289904
