,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YOR184W,14.2599,14.2189,13.5012,13.727,13.3176
YOR187W,13.573,13.7089,14.1977,14.0978,13.5436
YOR204W,12.5676,12.5152,12.141,12.2361,11.1623
YOR230W,15.6704,15.6414,14.9326,14.5969,14.872
YOR374W,30.852,30.5747,30.6248,33.4934,34.3969
YOR375C,32.0449,30.6901,32.0626,31.8462,30.7841
YOR388C,13.1883,12.8302,12.9099,13.051,13.5573
YPL061W,27.7197,27.883,28.1524,28.6999,30.2143
YPL106C,28.5539,28.3981,28.0833,28.2425,29.0225
YPL145C,12.0283,11.9606,10.9455,11.5699,9.8264
YPL262W,13.4671,13.5569,14.622,14.8738,14.9816
YPR002W,11.5377,12.3478,9.7712,12.9497,13.281
YPR033C,13.0624,13.2876,12.3367,12.5506,11.9101
YPR110C,12.6241,12.8036,12.6399,12.5988,12.4908
YPR145W,12.7855,13.723,11.9117,12.0848,11.3805
YPR163C,12.6466,12.2909,13.2716,11.694,13.4811
YPR191W,15.1779,15.0427,16.4385,16.4955,15.8956
