,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b3386,4.137492873,0.210438218,0.042891179,0.28462165,0.279824061,0.384434308,1.652154435,2.686934919,3.331872607,8.029648937,3.475808422,0.986662051,0.709253075,3.287122261,2.639936467,2.088824631,0.329225381,0.469023377,0.204418832,0.689907958,0.952415085,0.723352611,0.308943553,0.169603323,0.999380956,1.179205018,0.832593467,0.071911298,0.733200293
b2914,0.938422222,0.209973333,0.18096,0.3128,0.2688,0.097133333,0,0,0,0,0,0.5976,0.42848,0,0.025566667,0.160551111,0.033333333,0.047395556,0.004957778,0.200106667,0.466977778,0.218244444,0.053622667,0,0.025748,0,0.083093333,0.002614489,0.1448
b2935,1.795089655,0.709075862,0.164689655,0.579310345,0.848689655,0.156255172,0.652448276,0.162597931,0.156882759,0.10032,0.197528276,0.018575172,0.12225931,0.053147586,0.011223448,0.114196552,0.157572414,0.279627586,0.165131034,0.304917241,0.896,0.31862069,0.367806897,0.491310345,0.659758621,0,0.602482759,0.677793103,0.79017931
b2465,3.999424996,0.70117602,0.381227496,1.238653944,2.390016839,0.032311515,0,0,0,0,0,0,0,0,2.959900333,0.429059595,0.684206563,1.872130115,0.627348274,4.014416166,0,2.961022959,0.164916556,1.526388566,0.158257465,2.263214819,0,7.517763509,2.463535178
b2464,3.102049973,0.33304916,0.126144872,1.753610589,3.989736112,1.225777504,4.5379848,4.751002552,3.321461623,1.467399534,4.324630528,0.025048375,2.511287473,3.831010404,1.156790712,1.905381531,0.852407527,1.044617067,0.586219468,1.76603382,1.007919459,0.965478561,4.042541855,2.826551502,1.88235789,2.835833871,1.499200763,0,0.032088954
b0008,2.397514286,1.4665,1.084571429,2.451428571,1.756457143,0.113214286,0.9807,2.097171429,1.867114286,2.494971429,2.5461,1.352785714,2.009,1.654428571,0.107717143,0.545485714,0.152982857,0.10366,0.1594,0.157988571,1.736685714,0.571685714,0.4872,0.6355,0.8428,0.781071429,0.72,0.685128571,0.11849
b1850,9.946598456,1.284060312,0.621208042,1.345045773,1.48914019,0.290468498,0,0,0,0,0,1.567591097,4.604738826,6.907377491,2.830281817,8.344776521,0.174623048,1.626727697,0.149856399,12.39481242,2.649973075,0.372051696,3.04900377,0.922904326,4.723747981,0.769206606,2.624124933,3.089660743,1.10371567
b0114,9.784484489,5.988883092,3.751053498,4.21760244,3.324838464,3.317012481,5.235582133,0.719448569,3.441826865,21.58827307,10.00471566,1.682184854,0.019846892,1.189549304,2.387927921,0.802032749,0.916964322,3.864028575,1.750010033,4.373921419,1.300718385,6.528675202,4.284825621,8.086045672,4.91632219,6.312959024,7.858490187,9.272384316,6.75863868
b0115,4.0458878,0.620915033,0.147505144,0.848099734,0.151161946,1.073302469,0.015506385,3.937908497,0.344323408,1.194852941,3.338477366,0.622306947,2.471314452,0.305646333,3.604423868,4.413580247,1.28540305,1.303755144,0.810850884,3.138964536,0.865831518,0.940094711,1.556069959,1.336692084,1.371732026,1.364076495,1.117755991,0.997553558,1.445624546
b0116,21.57630997,19.40400095,19.44207702,6.801609848,3.455492424,9.474431818,0.202039931,1.411616162,9.845920139,14.18580335,17.16382576,3.171875,3.886363636,10.24147727,1.8125,13.4631471,5.170454545,8.771306818,9.786931818,5.256273674,4.177635732,5.651041667,10.92724116,12.26957071,5.984730114,11.99258207,2.976207386,9.019886364,4.625789141
b3403,14.46473182,3.395369113,3.398320004,0.262498533,0.206968127,0.397666113,16.56791241,12.53206579,2.997535335,6.885367939,7.561658535,17.21543182,1.818956122,0,1.26150596,2.052562748,0.157798903,2.005650286,0.449745989,1.272974196,5.09699378,3.694918096,4.44310313,2.100497963,4.319031571,3.41330919,4.286840032,0.964126553,3.894405043
b3956,2.405281541,0.53966203,0.199370091,0.498851224,1.766166643,0.1909168,1.298681634,5.465667966,4.410369264,0.720114676,2.695312027,0.41562153,0.24853728,0.136552866,0.948658416,1.129191819,1.189679191,1.347479356,0.730693909,0.210120934,0.854273082,0.23935717,1.182693667,0.440045628,0.72483899,0.129918637,0.362309463,0.635682704,0.138287133
b0720,14.75913777,15.15276476,10.15120275,5.960637301,7.247735083,1.355826304,5.320212434,2.296157451,18.41445382,5.095282724,16.08247423,3.915443091,5.949182547,3.416244923,10.58419244,21.30896595,6.000624805,2.269624076,1.045360825,16.09746954,4.218785796,12.22284703,7.236072061,7.388316151,17.75695095,0.446060606,4.911465167,6.744079975,17.08674373
b1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608305699,0.196632124,0,0,0,0.137663212,0,0,0,0,0,0,0,0,0
b0118,1.778205556,0.865183333,0.680988889,0.478833333,0.576333333,0.682388889,0.709333333,0.416777778,0.078016667,0.612966667,1.059488889,0.6102,0.268012222,0.575672222,3.296666667,3.08,0.523133333,0.273964444,0.363331667,0.685144444,0.922533333,0.523566667,0.067122222,0.599311111,1.359166667,0.874333333,0.041671111,0.225244444,0.346266667
b1136,20.75660555,5.725025679,5.053259611,3.423913281,5.287890377,13.40472496,35.86773608,27.99112704,57.82197259,41.0603842,63.06903862,23.25327272,6.88876019,2.941670127,20.46178727,20.01835785,8.620320388,12.84699609,8.108049042,23.56819722,2.416198614,13.80684923,2.79465437,5.713355334,12.49120353,11.97630964,15.40594882,18.24311034,14.93847936
b0726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0727,12.88541501,6.381586422,0.432846334,6.376360455,1.007248188,3.07491309,3.227783963,6.965076913,4.932403263,7.787144123,7.628092977,5.069096362,0.156517689,3.642362137,1.032123787,4.459112495,2.250800936,3.463315989,1.677671491,6.781940878,3.745381836,5.729317671,4.718093204,1.532934948,3.188975483,7.987275908,3.695439776,5.169162255,5.163368249
b0728,41.26301549,0.901775663,0.394842123,0.172193366,1.087594521,0.499362211,1.482376247,0.743343077,5.716232213,23.97313555,5.730026816,26.6015993,5.470973353,16.95359119,1.131142947,3.151474887,1.628874447,0.207561665,0.324127268,4.534679777,27.7933467,0.916821685,1.109325248,1.727345203,0.543758607,0.620742638,0.128910685,0.526813712,1.731500495
b0729,7.452194647,1.219464688,1.073311616,1.396379756,1.471605602,0.32927763,1.921483024,6.515767203,0.458662726,15.48409847,2.371978373,0.030121906,1.290257581,0.097070558,0.428041777,0.544023911,0.541948484,0.349457635,0.390986332,0.413809316,3.772105988,1.83450314,7.598918628,6.810625651,9.990630352,7.680088659,2.314000739,2.619572153,1.595258085
b0723,4.767393127,0.69986961,0.642513427,1.086336966,1.389385614,0.733615846,1.527180156,4.353916364,3.809257707,2.018440905,3.862438297,0.33355065,1.147455838,1.333271243,3.695631927,1.147434106,0.431073236,0.469404862,0.580547018,3.939647946,0.800153674,0.902797181,3.748719382,0.116098538,0.877656701,2.44998603,1.164198566,0.465871907,0.035531961
b0724,38.7822189,0.682181547,1.104512514,0.494579753,0.322476653,0.353216287,13.72805379,10.69667538,22.46694061,13.81610011,41.21404557,0.335995517,10.74486365,32.50803138,13.94008218,5.713896152,1.579902876,1.464325738,0.959551737,9.261860291,15.54351886,4.426596937,3.182667165,1.186036608,3.635338065,1.496862159,9.805005603,10.79043706,3.640119537
b4154,1.927120597,0.557933669,0.348375068,0.377660219,0.110840963,0.776693143,2.441035591,1.584763233,0.212332505,0.376735585,4.420147942,4.061222943,2.102801188,0.101955375,1.582140908,1.125128843,0.584429758,0.243512399,0.481658886,1.426847754,0.835505972,1.359122052,0.21701631,0.037670527,0.461650397,0.05398654,0.169170254,1.071969927,0.781331474
b1612,1.30748437,0.759813596,1.626677059,0.762334367,0.784490622,1.167117199,0.713444667,1.841755253,1.628683726,0.326320503,0.540796696,0,0,0,0.554204879,0.142415297,1.029867825,0.872021095,0.903995091,0.119031825,0,0.730061858,0.774308032,0.3410836,0.421051759,0.305892303,0.017727989,0.694721305,0.180102489
b4122,0.41147991,0.00655453,0.013600699,0.006712254,0.068583479,0.135213377,0.169230513,0.150237085,0.199650611,0.113818318,0.04018867,0.194958822,0.031223026,0.032091839,0.00233503,0.003887929,0.185525331,0.317025206,0.224596955,0.006120506,0.771363447,0.084625239,0.605141003,0.040410615,0.106161717,0.234126945,0.129653107,0.057563264,0.018499792
b1611,3.212858246,2.981223633,0.346055576,0.608623661,0.638598507,0.549030482,0,0,0,0,0,8.47020143,2.594228446,2.506684624,0.738695557,3.986610945,0.440551407,1.108756363,0.066359009,1.403592862,2.695577254,2.123512052,0.970191527,1.7828834,0.84754501,2.839806691,0.680623502,1.57998772,2.092198301
b3236,0.572965952,0,0,0,0,1.712712991,0,0,0,0,0,0,0,0,2.86260321,0,2.254692767,3.599591799,3.662677428,0.883198813,0,4.712929462,0.038885487,0.545059839,0.728379256,0.772214491,2.201657544,7.667377926,6.113430436
b4015,55.01662388,27.68949118,29.19363663,38.72122385,10.87980304,45.22873616,48.81949413,21.05130255,80.80467994,81.56011952,26.25142039,24.52127436,8.285636126,87.03337402,78.08383486,103.3289845,25.98228189,35.18033753,31.73098775,107.9121249,19.3173688,43.29594714,19.87879298,24.98043012,23.95395817,31.18050587,20.22642145,27.80985649,53.15222423
b4014,40.20838172,10.12708631,8.88774596,11.45651525,6.7592992,2.545542025,33.35103029,20.82456781,10.39303846,21.74370375,4.361748017,18.32846667,54.78315692,9.616750174,9.228655805,11.89816505,1.103643362,3.902511862,0.278129874,15.51581113,4.434631848,18.47960978,21.50214023,15.43484753,9.869064605,5.893751866,25.42223844,19.63035471,19.00952318
b2976,1.22492794,0.75442302,0.629199384,0.399040851,0.191107991,0.205302654,2.594920982,0,0.87989514,2.181194712,2.19676225,0,0,0,0.1273606,2.083093132,0.248036974,0.256644469,0.264136269,0.875534241,0,0.44286229,0.308915615,0.123650731,1.358811251,1.37255243,1.137933605,1.589205844,0.49085081
b4069,6.228867867,1.654645324,1.269093128,0.02822565,0,0.572376342,0.753960108,0,0.570803396,1.490512387,0.234055539,0,0,0,3.200488251,3.319166644,1.57505479,1.403500985,0.999694843,8.180777873,0,2.979096735,3.715427081,1.572946431,3.334646434,1.476197742,0.754739645,2.026728993,1.25968874
b0333,0.575981818,0.009862364,0.036670909,0.089214545,0.043658182,0.0456,0.299454545,1.010536364,0.466676364,0.561363636,0.108016364,0.020373455,0.224509091,0.157954545,0.214486364,0.079127273,0.05967,0.008353091,0.029950909,0.134059091,0.214250909,0.258787273,0,0.028254545,0.030939273,0.291613636,0.146127273,0.263636364,0.031118182
b1380,1.758341317,0.522512659,0.493472013,0.517312166,0.826878336,0.419893253,2.895305871,4.12470234,4.824004379,1.871356234,3.57678938,1.37030245,1.722403175,0.422019981,1.759709867,2.708964007,0.761461612,0.734035856,1.218557548,1.937867798,3.205802655,0.22688381,1.855754756,0.783248939,2.29500479,4.421239907,1.508252361,1.610236759,0.344970576
b3605,1.255935218,0.357601573,0.025301442,0.10782625,0.298623853,0.242662891,2.083458154,0.816864819,0.349056825,1.223296199,0.775557012,0.35649223,1.495927729,1.403833552,0.264809961,0.071861543,0.404390564,0.509684516,0.460587905,0.811435125,2.307058603,0,0.751860607,0.394132653,0.213731043,0.131962647,0.655378206,0.621035387,0.858399644
b0902,0.419940434,0.135406325,0.087432279,0.180931783,0.377279818,0.070678627,0.527574103,0.450702028,0.337654233,0.248560488,1.032871224,2.412221671,0.192398241,0.289767409,0.341951496,0.097411715,0.182073465,0.190397816,0.180258119,0.514395121,0.179740462,0.476031769,0.282087647,0.349907814,0.272461353,0.099152602,0.372500355,0.547794639,0.163629272
b0903,2.082635294,1.262470588,0.445941176,1.709647059,0.7232,1.324058824,2.257670588,1.524705882,0.788611765,1.726094118,0.110319412,1.395623529,1.182388235,0.472323529,1.438235294,1.9188,1.792647059,0.371505882,0.626429412,1.7514,0.501794118,0.483294118,0.389835294,0.706482353,0.025591176,0.336082353,1.195182353,1.062470588,0.883270588
b1241,0.637406764,0.493066464,0.596648184,0.323249451,1.500140439,0.803073018,0.192245675,0.843935627,0.097835156,0.446721525,0.026705296,0.232192828,0.389484744,0.259760525,0.142457374,0.222433864,1.062594276,0.85307978,0.567062324,0.020289825,0.194742372,0.012360939,1.596512946,0.214091774,0.17886858,0.041558563,0.06460443,0.126130016,0.075766434
b2297,0.146280992,0.018519628,0.017388843,0.015779339,0.055391736,0.005735,0.063729339,0.046681818,0.037917355,0.071590909,0.149768595,0.011093802,0.112221074,0.201119835,0.045818182,0.213586777,0.00644876,0.003312045,0.000924711,0.065907025,0.047708678,0.054933884,0.037404959,0.02261157,0.047861157,0.002949174,0.004420723,0.020619835,0.037863636
b2296,10.699769,3.036105336,1.796673597,2.701270501,2.845229845,1.913513514,8.607068607,8.282282282,4.446777547,9.674520675,3.932547933,1.24015015,3.734904135,0.556377916,2.357588358,2.315777316,2.815731116,3.298683299,4.879186879,1.948810349,0.318613999,0.137179487,8.296604297,14.13120813,16.11642412,16.49203049,2.702702703,4.23977824,1.062162162
b0474,1.615288731,0.190757229,0.803815823,0.65559654,0.83685237,0.552204698,0,0,0,0,0,1.005443907,1.548855253,1.67154668,0.015989994,0.286610701,0.541338082,0.633494446,1.093954041,0.046845162,0.555939964,0.454718901,0.5228483,0.273891291,0.592215721,0.072682948,0.256270669,0.196514882,0.204261002
b2415,108.5645356,4.282706437,11.1470556,9.992872025,16.04123259,0.645465512,52.75578463,102.5112403,119.1709617,51.67803487,60.91896041,28.62155938,130.7687246,36.07303432,115.9008663,66.25397522,5.499287203,3.13192236,12.23050773,45.06305516,37.36703586,29.97477794,65.09047045,0.680995723,0.795876741,97.93288738,87.39445115,40.10308148,8.169316811
b2416,3.155847834,1.488436487,1.002879079,0.220516976,4.05172902,2.098187596,0.402586451,0.274168528,3.765425883,0.080991788,2.145495736,2.383310783,2.135033511,2.968629055,1.283597118,1.993879991,2.381674585,1.945187376,2.843302602,1.016928353,2.88482112,3.067823542,1.476353796,1.948837356,0.474912684,1.499040307,0.590352726,3.77760297,1.710314339
